"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","9","2024","16","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","9","2024","47","JAMMU AND KASHMIR","HARYANA"
"07","01","9","2024","11","JAMMU AND KASHMIR","DELHI"
"08","01","9","2024","13","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","9","2024","4562","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","9","2024","2220","JAMMU AND KASHMIR","BIHAR"
"18","01","9","2024","5","JAMMU AND KASHMIR","ASSAM"
"19","01","9","2024","7","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","9","2024","54","JAMMU AND KASHMIR","JHARKHAND"
"22","01","9","2024","599","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","9","2024","1332","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","9","2024","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","9","2024","1","JAMMU AND KASHMIR","MAHARASHTRA"
"01","02","9","2024","3","HIMACHAL PRADESH","JAMMU AND KASHMIR"
"05","02","9","2024","37","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","9","2024","116","HIMACHAL PRADESH","HARYANA"
"07","02","9","2024","28","HIMACHAL PRADESH","DELHI"
"08","02","9","2024","9","HIMACHAL PRADESH","RAJASTHAN"
"09","02","9","2024","9517","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","9","2024","3324","HIMACHAL PRADESH","BIHAR"
"18","02","9","2024","2","HIMACHAL PRADESH","ASSAM"
"19","02","9","2024","21","HIMACHAL PRADESH","WEST BENGAL"
"20","02","9","2024","87","HIMACHAL PRADESH","JHARKHAND"
"22","02","9","2024","18","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","9","2024","178","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","9","2024","3","HIMACHAL PRADESH","MAHARASHTRA"
"02","03","9","2024","5","PUNJAB","HIMACHAL PRADESH"
"05","03","9","2024","16","PUNJAB","UTTARAKHAND"
"06","03","9","2024","48","PUNJAB","HARYANA"
"07","03","9","2024","30","PUNJAB","DELHI"
"08","03","9","2024","24","PUNJAB","RAJASTHAN"
"09","03","9","2024","2847","PUNJAB","UTTAR PRADESH"
"10","03","9","2024","2722","PUNJAB","BIHAR"
"19","03","9","2024","4","PUNJAB","WEST BENGAL"
"20","03","9","2024","34","PUNJAB","JHARKHAND"
"22","03","9","2024","4","PUNJAB","CHHATTISGARH"
"23","03","9","2024","38","PUNJAB","MADHYA PRADESH"
"27","03","9","2024","2","PUNJAB","MAHARASHTRA"
"05","04","9","2024","4","CHANDIGARH","UTTARAKHAND"
"06","04","9","2024","1","CHANDIGARH","HARYANA"
"08","04","9","2024","2","CHANDIGARH","RAJASTHAN"
"10","04","9","2024","22","CHANDIGARH","BIHAR"
"23","04","9","2024","1","CHANDIGARH","MADHYA PRADESH"
"01","05","9","2024","1","UTTARAKHAND","JAMMU AND KASHMIR"
"06","05","9","2024","116","UTTARAKHAND","HARYANA"
"07","05","9","2024","172","UTTARAKHAND","DELHI"
"08","05","9","2024","15","UTTARAKHAND","RAJASTHAN"
"09","05","9","2024","11493","UTTARAKHAND","UTTAR PRADESH"
"10","05","9","2024","2439","UTTARAKHAND","BIHAR"
"18","05","9","2024","4","UTTARAKHAND","ASSAM"
"19","05","9","2024","7","UTTARAKHAND","WEST BENGAL"
"22","05","9","2024","21","UTTARAKHAND","CHHATTISGARH"
"23","05","9","2024","68","UTTARAKHAND","MADHYA PRADESH"
"24","05","9","2024","3","UTTARAKHAND","GUJARAT"
"27","05","9","2024","7","UTTARAKHAND","MAHARASHTRA"
"33","05","9","2024","1","UTTARAKHAND","TAMIL NADU"
"01","06","9","2024","4","HARYANA","JAMMU AND KASHMIR"
"02","06","9","2024","11","HARYANA","HIMACHAL PRADESH"
"05","06","9","2024","272","HARYANA","UTTARAKHAND"
"07","06","9","2024","613","HARYANA","DELHI"
"08","06","9","2024","1281","HARYANA","RAJASTHAN"
"09","06","9","2024","24254","HARYANA","UTTAR PRADESH"
"10","06","9","2024","24741","HARYANA","BIHAR"
"18","06","9","2024","32","HARYANA","ASSAM"
"19","06","9","2024","138","HARYANA","WEST BENGAL"
"20","06","9","2024","319","HARYANA","JHARKHAND"
"22","06","9","2024","65","HARYANA","CHHATTISGARH"
"23","06","9","2024","3893","HARYANA","MADHYA PRADESH"
"24","06","9","2024","21","HARYANA","GUJARAT"
"27","06","9","2024","14","HARYANA","MAHARASHTRA"
"29","06","9","2024","2","HARYANA","KARNATAKA"
"35","06","9","2024","1","HARYANA","ANDAMAN AND NICOBAR ISLANDS"
"36","06","9","2024","1","HARYANA","TELANGANA"
"01","07","9","2024","36","DELHI","JAMMU AND KASHMIR"
"02","07","9","2024","136","DELHI","HIMACHAL PRADESH"
"05","07","9","2024","6289","DELHI","UTTARAKHAND"
"06","07","9","2024","11836","DELHI","HARYANA"
"08","07","9","2024","3589","DELHI","RAJASTHAN"
"09","07","9","2024","201503","DELHI","UTTAR PRADESH"
"10","07","9","2024","216040","DELHI","BIHAR"
"13","07","9","2024","2","DELHI","NAGALAND"
